Complaint Year Number,Month Number,Precinct,Patrol Borough Name,County,Law Code Category Description,Offense Description,PD Code Description,Bias Motive Description,Offense Category,Total: Population of one race: White alone,Total: Population of one race: Black or African American alone,Total: Population of one race: American Indian and Alaska Native alone,Total: Population of one race: Asian alone,Total: Population of one race: Native Hawaiian and Other Pacific Islander alone,Total: Population of one race: Some Other Race alone,Total: Not Hispanic or Latino: Population of one race: White alone,Total: Not Hispanic or Latino: Population of one race: Black or African American alone,Total: Not Hispanic or Latino: Population of one race: American Indian and Alaska Native alone,Total: Not Hispanic or Latino: Population of one race: Asian alone,Total: Not Hispanic or Latino: Population of one race: Native Hawaiian and Other Pacific Islander alone,Total: Not Hispanic or Latino: Population of one race: Some Other Race alone,Total: Hispanic or Latino
2022,9,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2022,8,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2020,4,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2022,5,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2020,5,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2022,12,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2022,10,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2020,8,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2022,11,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2023,3,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2023,3,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2020,2,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2023,3,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2020,12,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2020,12,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2021,12,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2022,5,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2019,5,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2019,12,71,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,29584,54740,335,2708,35,5882,28532,52807,125,2640,21,2133,10478
2020,11,72,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,37667,5424,2815,40609,81,33123,31915,4209,143,40415,29,948,52310
2019,2,72,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,37667,5424,2815,40609,81,33123,31915,4209,143,40415,29,948,52310
2020,12,72,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,37667,5424,2815,40609,81,33123,31915,4209,143,40415,29,948,52310
2022,6,72,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,37667,5424,2815,40609,81,33123,31915,4209,143,40415,29,948,52310
2019,8,72,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,37667,5424,2815,40609,81,33123,31915,4209,143,40415,29,948,52310
2020,3,72,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,37667,5424,2815,40609,81,33123,31915,4209,143,40415,29,948,52310
2021,12,78,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,48410,6295,226,6149,44,3764,46560,5731,48,6069,30,553,9769
2022,7,78,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,48410,6295,226,6149,44,3764,46560,5731,48,6069,30,553,9769
2019,12,78,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,48410,6295,226,6149,44,3764,46560,5731,48,6069,30,553,9769
2019,1,78,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,48410,6295,226,6149,44,3764,46560,5731,48,6069,30,553,9769
2020,2,73,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,5373,70765,697,1413,92,10965,3347,66418,263,1331,37,845,21709
2023,3,73,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,5373,70765,697,1413,92,10965,3347,66418,263,1331,37,845,21709
2019,11,73,PATROL BORO BKLYN NORTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,5373,70765,697,1413,92,10965,3347,66418,263,1331,37,845,21709
